-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,592,111,19,14,9,14,11,11,17,11,11,33,
Cascais,411,72,25,16,15,9,11,19,9,10,13,9,
Lisboa,1117,246,55,49,46,48,33,25,25,30,22,22,
Loures,490,107,24,14,14,17,17,10,12,7,11,9,
Mafra,153,30,10,6,3,2,2,2,2,3,0,1,
Odivelas,323,82,28,15,14,22,18,28,20,16,11,11,
Oeiras,387,90,22,12,9,5,7,8,2,9,5,6,
Sintra,943,143,25,18,16,15,21,7,6,14,20,11,
VilaFrancaDeXira,320,45,10,6,4,9,9,9,8,6,10,2,
Alcochete,37,7,2,4,1,0,2,0,2,0,0,0,
Almada,461,91,12,4,17,4,4,4,13,9,9,15,
Barreiro,219,38,5,8,0,2,10,8,1,2,7,2,
Moita,184,36,3,1,4,8,3,2,1,2,4,6,
Montijo,144,29,6,5,2,3,3,2,0,1,1,2,
Palmela,107,18,0,5,3,0,1,6,3,0,3,0,
Seixal,298,47,12,7,4,4,4,10,3,5,4,2,
Sesimbra,66,14,5,4,2,2,1,6,0,3,0,7,
Setubal,307,52,21,15,5,0,8,12,7,3,1,5,
