-,2021,2022,2023,
Amadora,11691,715,1144,
Cascais,8324,858,651,
Lisboa,23303,2414,1573,
Loures,10087,921,620,
Mafra,3161,143,95,
Odivelas,7116,1303,921,
Oeiras,8117,461,349,
Sintra,17934,937,810,
VilaFrancaDeXira,6052,492,413,
Alcochete,794,48,32,
Almada,9023,461,731,
Barreiro,4289,318,191,
Moita,3558,270,207,
Montijo,2923,159,64,
Palmela,2065,159,95,
Seixal,5782,349,222,
Sesimbra,1414,175,159,
Setubal,6275,397,254,
