-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Births,139,147,171,132,143,137,162,155,141,158,173,167,146,158,170,159,142,154,141,146,148,184,154,182,156,164,130,169,160,147,164,177,166,161,146,161,
Deaths,213,218,207,202,196,211,168,201,213,185,180,183,200,190,193,185,203,219,202,224,218,221,186,219,199,216,226,201,225,183,232,244,215,200,228,210,
Divorces,42,44,41,35,37,30,45,41,44,33,46,36,33,40,47,36,39,36,43,34,32,29,35,35,30,29,37,35,35,37,48,35,40,40,40,44,
Young leaving home,95,86,75,87,59,87,93,68,72,59,72,64,79,71,81,79,83,71,93,73,87,75,67,76,71,76,77,102,81,91,77,58,67,83,81,72,
