-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Supply in Lisboa for houses Smaller than 50m2,65.0,134.0,157.0,206.0,252.0,300.0,352.0,408.0,444.0,460.0,448.0,455.0,454.0,431.0,428.0,420.0,392.0,362.0,323.0,273.0,237.0,210.0,177.0,154.0,148.0,140.0,121.0,107.0,102.0,119.0,96.0,87.0,72.0,66.0,57.0,48.0,
Demand in Lisboa for houses Smaller than 50m2,31.0,45.0,43.0,40.0,39.0,49.0,46.0,55.0,61.0,57.0,59.0,68.0,82.0,98.0,117.0,109.0,120.0,152.0,166.0,213.0,246.0,264.0,315.0,347.0,328.0,349.0,394.0,388.0,464.0,480.0,463.0,563.0,592.0,644.0,624.0,681.0,
