-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Raw Salaries Paid,7.534069788343322e8,7.53602884591455e8,7.538165421635379e8,7.529400814003658e8,7.527302491037966e8,7.51742078336974e8,7.517357812203226e8,7.50977284023372e8,7.498605357662535e8,7.490391668643701e8,7.48287298087227e8,7.464521839789091e8,7.460754145331484e8,7.461621753406085e8,7.455343504573871e8,7.444428737997775e8,7.437813434956293e8,7.432291672469782e8,7.428743519720837e8,7.434062128726976e8,7.430390328029726e8,7.430497351054193e8,7.423183717105807e8,7.403571926473554e8,7.390068302130113e8,7.37690963037017e8,7.366884653870759e8,7.363229010829602e8,7.36809389196207e8,7.358727103328193e8,7.347326090029128e8,7.338542491728038e8,7.333031053388507e8,7.329239132771635e8,7.324575902145375e8,7.317613812910007e8,
Liquid Salaries Received,4.754203565690184e8,4.7560656213128513e8,4.758505738530353e8,4.753295836513706e8,4.753476306925321e8,4.748816331139212e8,4.750048233572638e8,4.746689581516144e8,4.740566243988412e8,4.7369085287674195e8,4.734049619820739e8,4.7232612651466763e8,4.722912884297162e8,4.725839683681454e8,4.723478486512831e8,4.7178059895950985e8,4.7148044826687866e8,4.7125024347953343e8,4.712007373152685e8,4.717304589093332e8,4.716216196943294e8,4.717431736195251e8,4.7139394737525165e8,4.701706539255557e8,4.693920210602143e8,4.6868063751084757e8,4.681218302101511e8,4.680256525865368e8,4.684646989501437e8,4.679168875146995e8,4.6727498727597004e8,4.6681602749987733e8,4.6659876889855564e8,4.6649161504922414e8,4.66302742815592e8,4.6598468832112676e8,
Non housing consumption,2.0244474611774954e8,2.0256937024396577e8,2.0274996035067165e8,2.024739305739138e8,2.025609447855591e8,2.02156498333641e8,2.0217626296874285e8,2.0225207787447593e8,2.0191111768007582e8,2.0179782166559866e8,2.0141999836765903e8,2.0112941730995753e8,1.985456670633501e8,1.987193205192212e8,1.9845952114654517e8,1.9834903130981332e8,1.9793072963094565e8,1.9788943718208873e8,1.977414579160923e8,1.9795403924415034e8,1.9784005129280373e8,1.9805966813732815e8,1.9772323499083516e8,1.9736776580754992e8,1.915296719508216e8,1.914220833957799e8,1.910644347160328e8,1.9100631622891456e8,1.9107985721353072e8,1.9081037025389764e8,1.906627232006352e8,1.9029237836682987e8,1.9027635046883073e8,1.9004371006333253e8,1.8990939776074457e8,1.8984297439461064e8,
