-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Subsidies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IRS,3.572554343254404e7,3.574753592540639e7,3.577940476776586e7,3.573069363069054e7,3.574604907980537e7,3.567467617652432e7,3.567816405330747e7,3.569154315431946e7,3.5631373708248936e7,3.561138029393013e7,3.554470559429233e7,3.5493426584109366e7,3.781822229778074e7,3.785129914651803e7,3.780181355172236e7,3.778076786853701e7,3.770109135827497e7,3.7693226129921764e7,3.7665039603065506e7,3.770553128460076e7,3.76838192938675e7,3.77256510737756e7,3.766156856968202e7,3.759386015381907e7,4.204309872091195e7,4.201948172102611e7,4.194097347425089e7,4.192821575756519e7,4.194435890053013e7,4.188520322646553e7,4.185279289770103e7,4.177149769027923e7,4.176797937120669e7,4.171691196512211e7,4.168742877674767e7,4.167284803784059e7,
IVA,2.779866222652886e8,2.7799632246015185e8,2.7796596831050277e8,2.776104977489827e8,2.773826184112559e8,2.768604452230583e8,2.767309578630362e8,2.7630832587175006e8,2.758039113673878e8,2.7534831398761904e8,2.7488233610514003e8,2.74126057464223e8,2.737841261034496e8,2.735782069724596e8,2.731865018060894e8,2.726622748402588e8,2.723008952287192e8,2.719789237674165e8,2.716736146567892e8,2.716757539633467e8,2.714174131086094e8,2.7130656148585904e8,2.709244243352883e8,2.701865387217611e8,2.696148091527665e8,2.690103255261601e8,2.685666351768977e8,2.6829724849639547e8,2.683446902460258e8,2.679558228180708e8,2.6745762172690427e8,2.6703822167291313e8,2.6670433644025967e8,2.6643229822793964e8,2.6615484739890867e8,2.6577669296982577e8,
Public Investment,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.84088e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7924712e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.7440624e8,4.6956536e8,
