-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Percentile 10,33.0,35.0,38.0,39.0,39.0,39.0,38.0,37.0,37.0,35.0,35.0,34.0,34.0,34.0,35.0,35.0,35.0,34.0,35.0,35.0,37.0,40.0,41.0,42.0,43.0,47.0,50.0,52.0,54.0,53.0,55.0,57.0,59.0,60.0,62.0,63.0,
Percentile 30,55.0,54.0,59.0,58.0,55.0,53.0,51.0,50.0,50.0,49.0,48.0,48.0,49.0,49.0,48.0,49.0,49.0,49.0,50.0,51.0,52.0,53.0,55.0,57.0,60.0,63.0,66.0,69.0,71.0,71.0,72.0,75.0,79.0,81.0,83.0,85.0,
Percentile 50,90.0,88.0,92.0,88.0,81.0,78.0,67.0,61.0,61.0,60.0,58.0,58.0,59.0,59.0,58.0,58.0,57.0,58.0,57.0,58.0,60.0,63.0,66.0,68.0,71.0,77.0,82.0,87.0,89.0,89.0,90.0,90.0,93.0,94.0,94.0,95.0,
Percentile 70,118.0,117.0,123.0,123.0,123.0,125.0,123.0,111.0,104.0,93.0,77.0,77.0,76.0,76.0,74.0,74.0,71.0,69.0,68.0,69.0,70.0,74.0,80.0,83.0,90.0,99.0,106.0,112.0,115.0,113.0,113.0,111.0,115.0,116.0,117.0,118.0,
Percentile 90,145.0,159.0,169.0,175.0,180.0,185.0,188.0,185.0,185.0,193.0,197.0,198.0,198.0,212.0,212.0,221.0,225.0,167.0,97.0,96.0,104.0,172.0,198.0,219.0,217.0,209.0,217.0,219.0,219.0,219.0,213.0,199.0,198.0,198.0,196.0,195.0,
Percentile 100,291.0,297.0,297.0,297.0,297.0,299.0,299.0,299.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,
Average,53.57124,53.577896,53.593163,53.59588,53.60287,53.599506,53.600952,53.60835,53.61021,53.595997,53.62371,53.59987,53.5584,53.56662,53.583805,53.601883,53.619198,53.61783,53.614,53.61867,53.612274,53.624825,53.68193,53.732693,53.74775,53.781822,53.792538,53.795074,53.80832,53.84264,53.862267,53.852074,53.86595,53.86555,53.898956,53.939228,
