-,2021/1,2021/2,2021/3,2021/4,2021/5,2021/6,2021/7,2021/8,2021/9,2021/10,2021/11,2022/1,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,2022/10,2022/11,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2024/1,2024/2,2024/3,
Total,242402,242914,242873,243332,243569,244058,244379,244437,244667,245108,244833,245430,246306,246669,246731,246959,247194,247681,248498,248885,249349,249553,249028,248794,248784,248770,249115,249817,249768,249741,249803,250143,250482,250744,250878,250702,
Home Owners,121730,122224,122486,123090,123456,123943,124356,124759,125300,125831,126426,127009,127574,128173,128624,129101,129534,129965,130552,130764,131057,131446,131867,132443,132631,133050,133379,133820,133920,134316,134679,134880,135344,135593,136027,136192,
Tenants,80431,80216,79835,79637,79417,79243,79072,78926,78729,78517,78259,78149,78021,78013,77852,77839,77712,77580,77626,77478,77380,77255,77098,77048,76841,76748,76623,76593,76275,76180,76073,75828,75780,75554,75502,75298,
Landlords,31621,31653,31641,31657,31656,31663,31674,31696,31712,31733,31742,31761,31784,31814,31844,31899,31914,31944,31994,32005,32059,32100,32135,32175,32180,32231,32265,32299,32275,32317,32344,32357,32410,32426,32467,32500,
Own multiple houses,31936,31831,31778,31793,31795,31806,31796,31811,31839,31856,31883,31893,31914,31930,31947,31978,31999,32029,32065,32085,32149,32196,32235,32275,32294,32343,32376,32398,32407,32469,32505,32521,32554,32572,32618,32642,
