-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1353.847421879919;1352.1633335649508;1426.5922120184177;1547.808846872133;1677.4014229015409;
Cascais;3403.8813792437522;2158.0678179811744;1922.704678946955;2021.9181356195895;1923.1756423353913;
Lisboa;4384.176033995458;3935.67765596962;4172.861811848616;4191.688590522963;4138.817485002763;
Loures;1778.7939591903084;1331.3828767782031;1841.0788588437279;1783.4013388619605;1747.7625774324708;
Mafra;1825.1243574534744;1752.4785937790034;1670.6132424345349;1410.107570174871;1135.09470344318;
Odivelas;1889.3969041939654;1793.573614622145;2253.6348652210577;1283.01964004777;1923.947482757645;
Oeiras;1749.4939007057908;1998.9590368613913;2358.1365543019774;2060.8310613783815;1941.5817114707456;
Sintra;1367.5242500679649;1036.0159507156266;1226.8471715244737;1282.2754459104826;1340.1546987982028;
VilaFrancaDeXira;1896.4704279829766;996.4003203797379;973.3596247802689;969.1746338698147;922.0539364463028;
Alcochete;1091.3598864768219;1030.2773129538255;1329.316525832206;1398.9080212846482;835.4735848709407;
Almada;1274.2322845006856;1054.293557894866;1537.3449110216586;0;1333.3556870890186;
Barreiro;877.6258923895928;890.7094100991369;1333.1891911817431;1428.8479277353608;1460.3917214114724;
Moita;948.6864041918078;1037.8852822230103;1010.9316922911654;964.1968725947384;964.3873568800503;
Montijo;1026.310190197033;1459.2427024178028;1381.370278007137;972.6569772711323;861.6867841539733;
Palmela;855.9668727295691;1067.3454132726774;979.6386871188178;871.2810119108138;890.4722807024702;
Seixal;1082.2392692567273;1042.3967711603996;1635.639063348815;1568.8663121110578;1575.0044559413677;
Sesimbra;1306.1644326440683;1365.6630179095648;1352.0567389646333;1279.0588690272975;1211.782374966589;
Setubal;1254.1661165213404;1114.9991598679885;1092.301251045757;1071.1078544124107;1116.4042236666342;
