-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,593,97,24,20,18,14,11,9,6,8,5,13,
Cascais,428,79,33,20,13,17,11,15,16,11,12,7,
Lisboa,1137,226,80,44,48,29,27,35,36,33,27,16,
Loures,526,107,27,11,14,13,16,18,20,2,9,6,
Mafra,156,34,12,1,2,6,7,1,5,8,5,4,
Odivelas,348,73,31,18,16,17,23,28,13,15,11,11,
Oeiras,393,91,25,17,9,9,7,8,10,2,8,4,
Sintra,932,140,23,20,16,17,24,10,11,8,15,10,
VilaFrancaDeXira,333,38,10,4,7,12,3,6,4,4,3,5,
Alcochete,37,7,5,2,2,1,1,0,0,1,0,1,
Almada,449,85,12,16,13,13,11,10,19,11,5,7,
Barreiro,225,35,5,3,7,3,8,12,1,6,5,9,
Moita,190,23,9,3,7,6,4,1,4,1,2,4,
Montijo,149,23,8,4,3,2,0,5,2,2,6,1,
Palmela,107,15,4,3,1,0,2,2,2,2,6,1,
Seixal,293,45,11,2,7,6,4,5,10,7,3,5,
Sesimbra,75,12,8,9,2,0,3,13,0,2,5,1,
Setubal,294,48,11,8,5,6,10,6,1,8,2,8,
