-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,10.085792345218431,7.5971561040064985,10.090325519999999,6.267494679197374,
Cascais,8.96298849407054,10.039735049984824,0,0,
Lisboa,13.09474573989216,10.746634813679547,11.140998823968351,9.16954999139892,
Loures,7.107632129994066,5.946128275638379,5.087971225070637,7.119838720508155,
Mafra,5.351491768071487,3.9426897421878824,0,0,
Odivelas,7.963481744482039,8.871282054026047,7.996825686992034,6.426596032286408,
Oeiras,13.5178611423,10.171563368532572,11.886808668745527,10.408952735291015,
Sintra,7.030816928850333,7.392103366316362,6.250126760401556,6.920615295764776,
VilaFrancaDeXira,6.680017557608698,5.540655245726685,5.092500349927119,0,
Alcochete,5.572999458951422,5.338109709531536,0,0,
Almada,8.092993241832463,6.828021485742127,7.1662250931288085,8.670051518328226,
Barreiro,6.838892300803236,6.190939298997251,6.5479593467815445,0,
Moita,5.739201936902707,8.20348753593522,4.049798875867334,0,
Montijo,9.445819434021608,4.41413775055274,5.357979361911061,8.794704668251427,
Palmela,6.33377898117959,7.839641887999999,4.921105981570912,4.867444328571429,
Seixal,6.751830332586756,4.740562614539785,6.877488366792022,5.019217056075261,
Sesimbra,6.589291860465116,5.322799999999999,0,0,
Setubal,6.417804236517435,0,5.1585974602128415,8.303270008913483,
