-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,10,1,3,4,
Cascais,9,3,0,0,
Lisboa,17,11,18,10,
Loures,7,7,1,3,
Mafra,3,1,0,0,
Odivelas,10,7,2,4,
Oeiras,8,2,3,2,
Sintra,12,6,5,5,
VilaFrancaDeXira,6,1,1,0,
Alcochete,2,1,0,0,
Almada,6,8,3,2,
Barreiro,4,1,1,0,
Moita,3,1,1,0,
Montijo,3,1,2,1,
Palmela,4,2,3,3,
Seixal,8,1,3,2,
Sesimbra,1,1,0,0,
Setubal,5,0,1,1,
