-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,8.94777676930601,7.325240041410636,7.824037791275361,9.970478284482757,9.34497046847333,9.012293079695628,
Cascais,10.092649370445606,9.404876695006509,11.081498796372019,12.335224300705068,12.072988947609856,10.347326237469058,
Lisboa,11.125910048266913,11.025885303504785,12.676420827774347,12.346525223120818,11.20615072816105,13.010553527334736,
Loures,7.631745368073307,6.284974715242226,8.308662713217878,8.175979490382558,9.055265297451864,8.218874825375412,
Mafra,6.472625919264885,5.6894284843806116,6.446079850763846,6.133047415954047,7.443448968534087,6.064721068468986,
Odivelas,8.070007457551018,7.24808608006695,8.220680889403402,9.216134522887707,9.336749842686093,9.261643340321225,
Oeiras,9.600127098774937,9.018400621681552,9.833524156867744,11.304902503059512,11.796766641362465,11.740950259674277,
Sintra,6.982423384976951,5.8215758454654445,6.298506793594486,7.694834682889955,8.012921263765033,6.6613582052120615,
VilaFrancaDeXira,6.915135827522794,5.297947265933738,5.969840060149798,7.471164838754692,7.7600120963977695,6.607671741285639,
Alcochete,5.729289229664197,6.648853655890956,5.701593589695224,7.100919783796762,0,7.528706072689653,
Almada,7.918400785706597,7.044186988345585,7.813976330511612,7.7027012710903096,7.433469861515117,8.273253781893322,
Barreiro,6.82703562890936,5.790255851911273,7.885375162828015,7.633689928228302,6.2282888982888185,7.386141924006145,
Moita,5.747403259676057,4.5388815800818065,5.738838312394291,6.084601000456722,6.674379412437997,4.990449028963964,
Montijo,6.005782077562456,5.555542425931247,5.599098187626699,7.979525870516484,9.41804710096866,6.673274297008907,
Palmela,6.078987866534748,4.992319698458184,5.446772654930279,8.540217405873936,8.54710040389827,6.272736885655174,
Seixal,6.3550052393863865,5.759573508124117,7.520368429117515,7.740026061232435,7.907997373530485,8.33790921054585,
Sesimbra,6.011366565865399,5.578633588120383,8.084834433824453,5.557870329421184,8.226576741103148,8.775699268009394,
Setubal,6.644627774389385,5.245491486638979,6.343998508396986,6.675429092012351,6.400900552825396,8.658043000904225,
