-,2021,2022,2023,
Amadora,9245,2176,1175,
Cascais,6926,2017,1414,
Lisboa,20174,5274,2700,
Loures,8467,1922,953,
Mafra,2748,715,429,
Odivelas,5163,1461,731,
Oeiras,7101,1287,985,
Sintra,13693,3256,1938,
VilaFrancaDeXira,4511,1493,794,
Alcochete,572,207,207,
Almada,8483,1906,1128,
Barreiro,3463,1128,699,
Moita,3113,762,492,
Montijo,2605,556,254,
Palmela,1954,334,334,
Seixal,5242,1064,826,
Sesimbra,1160,334,111,
Setubal,4893,1128,874,
