-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,139,170,209,198,161,111,64,15,19,7,6,21,
Cascais,174,122,147,155,104,100,76,37,21,22,13,17,
Lisboa,827,413,343,254,165,83,68,44,26,32,20,32,
Loures,150,167,188,198,140,103,50,22,5,7,11,4,
Mafra,64,36,51,42,44,36,12,17,5,9,4,6,
Odivelas,111,98,126,113,94,58,46,14,16,6,9,8,
Oeiras,145,126,128,132,94,63,30,16,2,13,9,3,
Sintra,339,287,292,278,272,160,58,33,25,15,12,21,
VilaFrancaDeXira,107,94,97,82,92,67,29,3,6,8,8,4,
Alcochete,17,13,10,14,7,9,5,3,2,1,0,1,
Almada,167,180,170,169,111,96,46,27,18,19,15,6,
Barreiro,86,79,100,78,61,55,30,7,4,5,2,9,
Moita,59,59,74,50,74,33,20,8,1,3,6,0,
Montijo,72,29,37,49,34,24,16,14,2,1,4,1,
Palmela,39,25,34,34,36,20,7,7,0,1,8,4,
Seixal,106,93,91,84,88,63,29,21,8,11,10,11,
Sesimbra,19,22,16,31,24,19,9,5,3,1,2,2,
Setubal,118,92,84,68,74,42,30,4,6,6,9,10,
