-,2021,2022,2023,
Amadora,11374,5576,842,
Cascais,9499,5035,1160,
Lisboa,29180,5719,1747,
Loures,11167,5004,429,
Mafra,3066,1731,381,
Odivelas,7116,3368,620,
Oeiras,8435,3225,429,
Sintra,18998,8308,1160,
VilaFrancaDeXira,6036,3034,413,
Alcochete,858,381,64,
Almada,10897,4448,921,
Barreiro,5449,2430,318,
Moita,3844,2144,159,
Montijo,2970,1398,127,
Palmela,2097,1112,207,
Seixal,5941,3193,635,
Sesimbra,1398,905,127,
Setubal,5750,2383,492,
